"Unnamed..0","GAD1","GAD2","GAD3","GAD4","GAD5","GAD6","GAD7","GADE","SWL1","SWL2","SWL3","SWL4","SWL5","Game","Platform","Hours","whyplay","streams","SPIN1","SPIN2","SPIN3","SPIN4","SPIN5","SPIN6","SPIN7","SPIN8","SPIN9","SPIN10","SPIN11","SPIN12","SPIN13","SPIN14","SPIN15","SPIN16","SPIN17","Narcissism","Gender","Age","Work","Degree","Birthplace","Residence","Playstyle","GAD_T","SWL_T","Residence_ISO3","Birthplace_ISO3"
12376,3,3,3,3,0,0,3,"Not difficult at all",1,6,4,1,1,"League of Legends","PC",70,"Competition",7,2,1,1,4,0,4,2,4,2,3,3,3,1,4,4,4,2,5,"Other",19,"Student","High School","Italy","Italy","Multiplayer",15,13,"ITA","ITA"
12377,2,1,1,0,1,1,0,"Somewhat difficult",6,6,6,5,2,"Starcraft 2","PC",2,"Competition",6,1,2,1,2,2,1,1,1,0,1,0,0,1,1,1,0,0,3,"Male",19,"Student","High School","USA","USA","Multiplayer",6,25,"USA","USA"
12378,0,0,0,0,0,0,0,"Not difficult at all",5,6,5,3,7,"Other","PC",2,"Competition",15,0,1,0,0,1,0,1,0,0,1,1,0,0,0,2,0,1,2,"Male",23,"Employed","High School","USA","USA","Multiplayer",0,26,"USA","USA"
12379,0,0,0,0,0,1,0,"Not difficult at all",2,4,4,2,2,"League of Legends","PC",10,"Fun",15,0,0,1,2,0,2,0,4,4,0,2,0,0,0,0,0,2,3,"Male",18,"Student","High School","Argentina","Argentina","Multiplayer",1,14,"ARG","ARG"
12380,2,1,0,2,0,1,1,"Very difficult",2,3,1,3,3,"League of Legends","PC",10,"Fun",5,1,2,2,2,2,2,3,2,3,1,3,2,0,2,1,0,3,1,"Female",23,"Unemployed","Bachelors","New Zealand","New Zealand ","Multiplayer",7,12,"NZL","NZL"
12381,0,0,0,0,0,0,0,"Not difficult at all",6,5,7,4,5,"League of Legends","PC",40,"Competition",20,0,1,2,2,3,1,2,2,2,2,2,1,0,0,0,0,1,1,"Male",18,"Student","None","USA","USA","Multiplayer",0,27,"USA","USA"
12382,1,3,3,3,2,3,3,"Very difficult",1,1,1,2,1,"League of Legends","PC",21,"Competition",5,1,3,0,2,1,3,3,2,4,0,3,0,0,3,3,0,3,1,"Male",20,"Student","High School","Germany","Germany","Multiplayer",18,6,"DEU","DEU"
12383,0,0,2,1,0,0,0,"Not difficult at all",4,5,5,5,7,"League of Legends","PC",16,"Fun",21,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,"Male",24,"Employed","High School","USA","USA","Multiplayer",3,26,"USA","USA"
12384,2,3,3,3,1,1,3,"Somewhat difficult",5,4,5,5,1,"League of Legends","PC",21,"Competition",30,1,3,4,4,3,2,2,4,4,3,0,1,2,3,1,1,0,3,"Female",22,"Student","High School","USA","UK","Multiplayer",16,20,"GBR","USA"
12385,0,0,1,3,1,3,1,"Very difficult",2,2,1,1,1,"League of Legends","PC",20,"Fun",20,0,0,0,3,0,0,0,2,1,0,1,0,0,0,0,0,0,1,"Male",21,"Unemployed","None","UK","UK","Multiplayer",9,7,"GBR","GBR"
12386,1,1,1,1,1,0,1,"Not difficult at all",5,5,6,4,2,"League of Legends","PC",12,"Competition",10,1,2,3,3,2,2,4,3,3,2,3,1,3,3,2,1,2,1,"Male",23,"Employed","High School","USA","USA","Multiplayer",6,22,"USA","USA"
